Rok,"Příjmení, jméno",Titul,Věk,Navrh.strana,Polit.přísl.,Pocet hlasu lidi,Pocet hlasu v %,Pořadí kand.,Pořadí zvoleni,Mandát
2014,Václav Lukáš, ,31,PPPS,BEZPP,553,1.68,0,47,-
2014,Václavovič Jiří,Ing.,39,Svobodní,BEZPP,864,2.1,0,25,-
2014,Vachulková Jitka,Mgr.,31,Zelení,BEZPP,1582,1.79,0,45,-
2014,Vaic Petr, ,23,PPPS,BEZPP,649,1.97,0,29,-
2014,Valenta Jiří,PhDr.,48,KSČM,KSČM,3474,2.27,5,10,-
2014,Vaněk Petr,Mgr.,36,NK,BEZPP,2346,2.66,0,1,-
2014,Vápeník Vladimír, ,53,Piráti,Piráti,1793,2.03,0,29,-
2014,Vaško Martin,Ing.,34,OPAT,BEZPP,2446,1.81,39,43,-
2014,Vavrušková Jana,Ing.,62,KSČM,KSČM,3258,2.13,34,40,-
2014,Vejvančický David, ,25,PPPS,BEZPP,642,1.95,0,30,-
2014,Velebný Daniel, ,48,NK,BEZPP,814,1.77,0,44,-
2014,Vendiš Tomáš,Bc.,31,Svobodní,Svobodní,1008,2.45,0,3,-
2014,Vetýšková Iveta, ,49,PPPS,BEZPP,653,1.98,0,34,-
2014,Vít Martin, ,43,TOP 09,TOP 09,3581,2.14,11,16,-
2014,Vítek Karel,Ing.,58,PVP,PVP,1064,2.1,0,12,-
2014,Vítovec Jiří,Ing.,60,PPPS,BEZPP,770,2.33,0,8,-
2014,Víznerová Petra,Ing.,39,TOP 09,TOP 09,3683,2.2,8,13,-
2014,Vlk Otto, ,61,KSČM,KSČM,3276,2.14,29,35,-
2014,Vlk Radoslav, ,43,DSSS,DSSS,325,3.18,0,11,-
2014,Vobořilová Ludmila, ,69,SPO,BEZPP,94,3.98,0,5,-
2014,Vočadlová Hana, ,58,KSČM,KSČM,3324,2.17,14,19,-
2014,Vogeltanz Jiří, ,33,NK,BEZPP,904,1.97,0,26,-
2014,Vokáč Bohouš, ,58,VZ,BEZPP,1063,1.98,0,39,-
2014,Vokoun Antonín, ,37,KSČM,KSČM,3340,2.18,13,18,-
2014,VONDROVSKÝ Václav, ,51,KDU-ČSL,BEZPP,2049,1.96,32,35,-
2014,Vondřich Vladimír, ,48,OPAT,BEZPP,2810,2.08,8,6,-
2014,Vostřák Pavel, ,41,PPPS,BEZPP,1392,4.23,0,3,-
2014,Vovsová Ladislava,Mgr.,31,PPPS,PPPS,677,2.05,0,13,-
2014,Vozobule Michal,Mgr.,33,TOP 09,TOP 09,4221,2.53,2,2,*
2014,Vrbatová Jana, ,68,NK,BEZPP,837,1.82,0,42,-
2014,VYŠATA Jiří,Ing.,48,KDU-ČSL,BEZPP,2135,2.04,29,32,-
2014,Waasová Pavlína, ,36,TOP 09,TOP 09,3520,2.11,16,21,-
2014,Walter Martin,Bc.,28,Svobodní,Svobodní,874,2.12,0,16,-
2014,Weger Jiří, ,36,ANO,ANO,6349,1.92,35,45,-
2014,WIPPLINGER Eduard,Ing.,29,KDU-ČSL,BEZPP,2103,2.01,28,31,-
2014,Zach Karel,Ing.,51,OPAT,BEZPP,3264,2.42,3,16,-
2014,Záluský Radek, ,35,Úsvit,BEZPP,1071,1.99,0,38,-
2014,Zárubová Eliška, ,20,Svobodní,BEZPP,722,1.75,0,47,-
2014,Zarzycký Roman,Mgr.,37,ANO,ANO,7502,2.27,5,5,*
2014,Zavadil Jan,Ing.,34,Svobodní,Svobodní,1042,2.53,0,1,-
2014,Zeman Miloslav,Ing.,53,ANO,BEZPP,7115,2.15,9,19,-
2014,Zeman Pavel, ,63,ANO,ANO,7140,2.16,1,11,-
2014,ZEMAN Václav,JUDr.,50,KDU-ČSL,BEZPP,1844,1.76,42,45,-
2014,Zíka Petr,Mgr.,57,KSČM,KSČM,3327,2.17,18,23,-
2014,Zikmundová Irena,Ing.,54,PPPS,PPPS,708,2.15,0,19,-
2014,Zíková Jana, ,34,PPPS,BEZPP,647,1.96,0,26,-
2014,Zoubek Aleš,PhDr.,40,ČSSD,ČSSD,6505,2.14,21,31,-
2014,Zoubková Renáta, ,44,NK,BEZPP,1193,2.6,0,2,-
2014,Zrostlík Petr,Mgr.,41,OPAT,BEZPP,2987,2.21,11,11,-
2014,Zrostlíková Eva,Mgr.,29,ČSSD,ČSSD,6507,2.14,17,27,-
2014,Zrzavecký Martin, ,41,ČSSD,ČSSD,7182,2.36,1,1,*
2014,Ženíšek Ondřej,Mgr.,37,TOP 09,TOP 09,4688,2.81,1,1,*
2014,Ženíšek Václav,Ing.,66,Úsvit,BEZPP,1575,2.93,0,3,-
2014,Žlůvová Ivana, ,38,DSZ,BEZPP,53,6.2700000000000005,0,6,-
2018,Adamcová Marie, ,29,NPJS,BEZPP,1228,2.02,0,30,-
2018,Aichingerová Zita, ,39,NK,BEZPP,427,2.2,0,7,-
2018,Albrecht Milan,Ing.,35,Svobodní,Svobodní,1872,2.32,0,10,-
